color;month;wt
November;1.8490384130861037;00ff00
December;3.078478517143059;00ff00
May;2.1170552734737047;ff0000
June;1.8915513849739702;00ff00
April;1.8638870562389351;ff0000
January;3.0539085968270556;ff0000
