,Popularity,Release Date,Title,Vote Average,Vote Count,id
99,2.446115,2015-04-11,Spooks: The Greater Good,5.7,155,292040
100,1.575828,2015-04-12,Desierto,5.6,82,258363
101,1.378836,2015-04-14,Final Girl,4.8,147,277558
102,1.793961,2015-04-14,Batman vs. Robin,6.7,176,321528
103,1.341454,2015-04-15,Robin des Bois - La v?ritable histoire,4.1,53,325516
104,2.035693,2015-04-15,The Survivalist,6.3,70,329004
105,2.454988,2015-04-15,Taxi,6.7,81,320006
106,3.763327,2015-04-16,The Age of Adaline,7.3,1474,293863
107,2.605994,2015-04-16,Slow West,6.7,311,223485
108,2.976568,2015-04-16,Paul Blart: Mall Cop 2,5.1,509,256961
109,1.398279,2015-04-16,Mia Madre,6.2,74,315872
110,2.794427,2015-04-17,Unfriended,5.5,802,277685
111,2.461262,2015-04-17,Beyond the Reach,5.5,116,284289
112,2.162253,2015-04-17,True Story,6.0,419,245706
113,1.45741,2015-04-17,The Benefactor,4.5,81,328901
114,1.766165,2015-04-18,Dragon Ball Z: Resurrection 'F',6.9,284,303857
115,2.680747,2015-04-19,Ashby,6.1,143,330112
116,10.642884,2015-04-22,Avengers: Age of Ultron,7.3,5104,99861
117,1.438367,2015-04-23,Little Boy,7.0,153,256962
118,1.247552,2015-04-29,"Connasse, Princesse des c?urs",5.9,162,325848
119,2.716075,2015-04-30,Barely Lethal,5.4,264,248574
120,2.348724,2015-05-01,Far from the Madding Crowd,6.8,283,250734
121,3.452085,2015-05-06,Careful What You Wish For,5.6,79,317744
122,4.656425,2015-05-06,Spy,6.9,2134,238713
123,1.648055,2015-05-06,Blind Date,6.1,108,334878
124,1.610527,2015-05-07,Pound of Flesh,5.4,53,326284
125,5.419953,2015-05-07,Pitch Perfect 2,6.8,1471,254470
126,1.491404,2015-05-08,Infini,5.0,132,301728
127,1.769105,2015-05-08,The D Train,4.4,62,308638
128,2.355621,2015-05-08,Hot Pursuit,5.4,548,268920
129,1.297726,2015-05-08,Bravetown,6.4,59,300666
130,3.190791,2015-05-08,Maggie,5.1,489,287424
131,29.698128,2015-05-13,Mad Max: Fury Road,7.2,7538,76341
132,1.12419,2015-05-13,Standing Tall,7.2,112,329819
133,2.110107,2015-05-14,Tale of Tales,5.9,281,314405
134,1.971211,2015-05-14,A Royal Night Out,6.5,62,300155
135,1.158909,2015-05-15,Area 51,4.3,118,57876
136,1.391786,2015-05-18,Louder Than Bombs,6.6,71,157827
137,8.197502,2015-05-19,Tomorrowland,6.2,2329,158852
138,1.380846,2015-05-19,The Measure of a Man,6.2,85,329712
139,1.856455,2015-05-19,San Andreas Quake,3.5,70,339533
140,3.231622,2015-05-20,Poltergeist,5.0,735,243688
141,2.625123,2015-05-20,Youth,6.7,500,310593
142,3.53884,2015-05-21,Survivor,5.4,344,334074
143,1.313433,2015-05-22,The Human Centipede 3 (Final Sequence),3.6,106,94365
144,2.866265,2015-05-22,Kung Fury,7.7,617,251516
145,1.413405,2015-05-25,Embrace of the Serpent,7.6,96,336808
146,6.809687,2015-05-27,San Andreas,6.1,2384,254128
147,2.290945,2015-05-27,Aloha,5.1,574,222936
148,2.465541,2015-05-29,Man Up,6.6,321,332340
149,1.187497,2015-05-29,Hot Girls Wanted,5.9,171,318256
150,1.099805,2015-05-29,Results,5.1,52,294132
151,1.486445,2015-05-30,Sweet Bean,7.0,65,319373
152,1.609524,2015-05-31,Return to Sender,4.9,112,333381
153,3.681104,2015-06-03,Entourage,6.2,442,188222
154,1.628491,2015-06-03,Manglehorn,5.1,53,254905
155,1.580554,2015-06-04,Grandma,5.9,116,309304
156,2.361698,2015-06-04,Insidious: Chapter 3,6.2,761,280092
157,1.441984,2015-06-04,Pressure,5.2,53,252164
158,1.950777,2015-06-04,Madame Bovary,5.3,67,253161
159,1.928196,2015-06-05,We Are Still Here,5.5,155,291272
160,1.069475,2015-06-05,The Nightmare,5.6,80,312827
161,43.112525,2015-06-09,Jurassic World,6.5,6725,135397
162,7.977242,2015-06-09,Inside Out,8.0,4799,150540
163,1.092727,2015-06-09,Soaked in Bleach,7.0,71,295595
164,1.792046,2015-06-11,Victoria,7.8,301,320007
165,2.149508,2015-06-11,Son of Saul,7.1,220,336050
166,2.818751,2015-06-12,Me and Earl and the Dying Girl,7.7,736,308369
167,1.154754,2015-06-12,The Wolfpack,6.8,105,307931
168,1.603546,2015-06-13,Our Little Sister,7.1,76,315846
169,1.456119,2015-06-15,The Escort,5.9,80,351964
170,7.290915,2015-06-15,Southpaw,7.3,1631,307081
171,10.158704,2015-06-17,Minions,6.5,3246,211672
172,2.025452,2015-06-17,Mustang,8.0,268,336804
173,2.928437,2015-06-18,Paper Towns,6.2,1448,286565
174,1.516533,2015-06-19,The Overnight,6.0,109,308024
175,2.082539,2015-06-19,Dope,7.2,572,308639
176,3.59948,2015-06-19,Mr. Holmes,6.5,528,280996
177,1.042855,2015-06-19,Ahora o nunca,5.3,62,300601
178,1.529483,2015-06-21,Lava,7.3,343,286192
179,11.606542,2015-06-23,Terminator Genisys,5.8,3061,87101
180,2.041471,2015-06-24,One Wild Moment,5.7,220,342878
181,7.222564,2015-06-25,Ted 2,6.3,1941,214756
182,2.9428,2015-06-26,Absolutely Anything,5.7,279,86828
183,3.373625,2015-06-26,Knock Knock,4.7,633,263472
184,2.852534,2015-06-26,Sleeping with Other People,6.1,252,288036
185,1.142327,2015-06-26,Teen Beach 2,6.5,68,325189
186,1.503727,2015-06-26,Bound to Vengeance,5.5,84,310137
187,2.147496,2015-06-26,Max,6.8,239,272878
188,1.193097,2015-06-30,Staten Island Summer,5.6,65,343934
189,1.329243,2015-07-01,Strangerland,5.2,66,245846
190,1.839483,2015-07-01,Magic Mike XXL,6.2,572,264999
191,1.134648,2015-07-01,Les Profs 2,5.4,185,325844
192,1.968214,2015-07-03,Amy,7.5,399,331781
193,1.424887,2015-07-03,Cartel Land,7.4,137,317952
194,1.618631,2015-07-04,Mississippi Grind,5.9,99,309242
195,1.318572,2015-07-06,Love,4.8,355,292431
196,4.169563,2015-07-10,Self/less,6.2,874,238615
197,1.920958,2015-07-10,The Gallows,4.9,294,299245
198,1.369753,2015-07-10,Tangerine,6.9,136,308084
199,1.726277,2015-07-10,Baahubali: The Beginning,7.1,76,256040
200,1.920958,2015-07-10,The Gallows,4.9,294,299245
201,1.17829,2015-07-10,Monkey King: Hero Is Back,7.5,53,351694
202,1.364736,2015-07-11,7 Days in Hell,6.5,104,287689
203,1.939239,2015-07-11,The Boy and the Beast,7.9,186,315465
204,7.922,2015-07-14,Ant-Man,7.0,4567,102899
205,1.862549,2015-07-16,Some Kind of Beautiful,5.5,130,253344
206,7.220806,2015-07-16,Pixels,5.7,1905,257344
207,1.575859,2015-07-16,Monster Hunt,5.7,70,334298
208,1.528669,2015-07-17,The Stanford Prison Experiment,6.8,189,308032
209,1.079892,2015-07-17,Twinsters,7.5,65,324325
210,3.501003,2015-07-17,Irrational Man,6.2,431,282984
211,3.844666,2015-07-17,Trainwreck,5.9,996,271718
212,1.535939,2015-07-17,Bajrangi Bhaijaan,7.5,142,348892
213,1.516604,2015-07-20,A Christmas Horror Story,5.7,74,311539
214,1.177523,2015-07-22,Sharknado 3: Oh Hell No!,4.5,105,331446
215,1.6888,2015-07-22,Synchronicity,5.5,75,347945
216,6.022218,2015-07-23,Mission: Impossible - Rogue Nation,7.1,2705,177677
217,1.468733,2015-07-24,The Vatican Tapes,4.6,193,157544
218,1.154338,2015-07-24,Smosh: The Movie,5.2,74,311615
219,1.925215,2015-07-24,Life,6.0,98,300153
220,1.585553,2015-07-25,Backtrack,5.5,101,332704
221,2.969898,2015-07-28,Vacation,6.1,978,296099
222,1.770379,2015-07-28,Justice League: Gods and Monsters,6.9,118,323027
223,2.861646,2015-07-29,The Little Prince,7.5,558,309809
224,4.451109,2015-07-30,The Gift,6.6,859,328425
225,2.005204,2015-07-31,Descendants,6.6,305,277217
226,1.345484,2015-07-31,The End of the Tour,7.2,174,249688
227,1.304585,2015-07-31,A LEGO Brickumentary,6.5,51,251471
228,1.024002,2015-07-31,Best of Enemies,7.3,56,319067
229,1.839033,2015-07-31,Lila & Eve,5.3,90,309581
230,2.089668,2015-07-31,Jenny's Wedding,5.2,116,342474
231,2.275081,2015-08-01,Momentum,5.8,132,346808
232,2.205207,2015-08-05,The Invitation,6.4,306,306947
233,3.390403,2015-08-05,Goosebumps,6.2,757,257445
234,3.768663,2015-08-05,Fantastic Four,4.4,1852,166424
235,2.723152,2015-08-06,The 33,5.8,318,293646
236,1.326122,2015-08-06,Learning to Drive,6.1,63,284286
237,1.480194,2015-08-07,Harbinger Down,4.6,56,296130
238,1.531491,2015-08-07,Steve Jobs: The Man in the Machine,6.4,120,324308
239,1.907697,2015-08-07,Cop Car,5.7,250,310133
240,1.712443,2015-08-07,The Diary of a Teenage Girl,6.7,228,250124
241,2.136643,2015-08-07,Extinction,5.4,175,338676
242,1.955676,2015-08-07,Boruto: Naruto the Movie,7.9,112,347201
243,1.770276,2015-08-12,Attack on Titan,5.3,153,295830
244,1.816476,2015-08-13,The Clan,6.4,90,352161
245,5.552964,2015-08-13,Straight Outta Compton,7.6,1116,277216
246,2.581352,2015-08-13,Z for Zachariah,5.5,233,193687
247,5.025503,2015-08-13,The Man from U.N.C.L.E.,7.0,1879,203801
248,1.205148,2015-08-14,"People, Places, Things",6.8,59,308027
249,1.447737,2015-08-14,Turbo Kid,6.8,178,310135
250,2.121574,2015-08-14,Air,4.7,172,284674
251,1.572252,2015-08-14,Mistress America,6.5,166,309245
252,2.448906,2015-08-16,Macbeth,6.4,358,225728
253,1.404864,2015-08-18,6 Years,5.4,216,323674
254,2.592988,2015-08-19,American Ultra,5.9,861,261392
255,2.717461,2015-08-19,Sinister 2,5.4,420,283445
256,1.380204,2015-08-19,Summertime,6.3,51,273153
257,1.527886,2015-08-19,Family For Rent,5.0,88,342281
258,1.692629,2015-08-19,Antigang,5.7,77,348060
259,3.531589,2015-08-20,Hitman: Agent 47,5.5,944,249070
260,1.29879,2015-08-24,Tiger House,5.4,64,341077
