Action ;3.09705919630931;FF0000
Adventure;1.9587526977808538; 00FF00
Animation;2.778334654299281; 00FF00
Documentary;6.128974253797249; 00FF00
Drama;6.893918450085298; 00FF00
History;4.546208017989067; 00FF00
Horror;9.01120470099094;FF0000
Music;2.8545697527729206; 00FF00
Romance;2.086419157541533; 00FF00
Science;3.674976405492207;FF0000
Thriller;6.103708991861865;FF0000
War;3.42243819079335; 00FF00


Action ;3.09705919630931;FF0000
Adventure;1.9587526977808538; 00FF00
Animation;2.778334654299281; 00FF00
Drama;6.893918450085298; 00FF00
History;4.546208017989067; 00FF00
Horror;9.01120470099094;FF0000
Romance;2.086419157541533; 00FF00
Science;3.674976405492207;FF0000
Thriller;6.103708991861865;FF0000
